iter	Passed	Remaining
0	667	332857
1	1132	282003
2	1469	243436
3	1812	224784
4	2151	213046
5	2497	205640
6	2798	197125
7	3090	190087
8	3355	183067
9	3572	175051
10	3823	169968
11	4085	166128
12	4352	163040
13	4644	161221
14	4955	160227
15	5181	156752
16	5429	154252
17	5655	151450
18	5867	148537
19	6086	146074
20	6267	142954
21	6504	141331
22	6739	139781
23	6976	138376
24	7187	136565
25	7435	135561
26	7670	134380
27	7887	132953
28	8098	131531
29	8297	129998
30	8536	129154
31	8803	128757
32	9053	128119
33	9284	127245
34	9508	126328
35	9739	125524
36	9964	124693
37	10230	124383
38	10507	124209
39	10814	124363
40	11098	124249
41	11330	123553
42	11601	123297
43	11852	122834
44	12080	122149
45	12339	121781
46	12579	121245
47	12837	120881
48	13073	120326
49	13335	120015
50	13566	119440
51	13887	119649
52	14128	119159
53	14374	118722
54	14617	118270
55	14851	117754
56	15072	117141
57	15310	116676
58	15523	116030
59	15770	115648
60	16011	115231
61	16226	114629
62	16472	114260
63	16691	113707
64	16945	113404
65	17166	112882
66	17402	112465
67	17624	111967
68	17882	111702
69	18100	111189
70	18322	110709
71	18551	110279
72	18789	109906
73	18977	109250
74	19221	108922
75	19419	108341
76	19661	108008
77	19874	107524
78	20106	107149
79	20333	106748
80	20579	106454
81	20779	105923
82	20986	105440
83	21203	105005
84	21401	104489
85	21617	104064
86	21813	103551
87	22020	103098
88	22240	102707
89	22433	102198
90	22649	101799
91	22871	101431
92	23097	101082
93	23307	100668
94	23541	100360
95	23738	99898
96	23953	99518
97	24152	99074
98	24366	98698
99	24574	98297
100	24766	97841
101	24970	97435
102	25185	97074
103	25400	96718
104	25616	96365
105	25845	96068
106	26052	95689
107	26296	95447
108	26563	95287
109	26799	95018
110	27067	94857
111	27282	94514
112	27546	94341
113	27809	94160
114	28069	93970
115	28368	93909
116	28688	93912
117	28933	93665
118	29215	93540
119	29486	93372
120	29798	93336
121	30025	93030
122	30314	92915
123	30558	92660
124	30823	92469
125	31062	92201
126	31335	92032
127	31580	91781
128	31845	91585
129	32077	91296
130	32333	91077
131	32572	90807
132	32815	90552
133	33100	90408
134	33341	90144
135	33588	89897
136	33839	89663
137	34074	89384
138	34332	89166
139	34561	88872
140	34860	88758
141	35156	88634
142	35429	88449
143	35641	88113
144	35862	87802
145	36116	87569
146	36418	87454
147	36668	87212
148	36920	86974
149	37228	86866
150	37507	86689
151	37748	86424
152	38052	86300
153	38321	86099
154	38573	85856
155	38799	85558
156	39072	85361
157	39335	85143
158	39567	84857
159	39800	84576
160	40056	84343
161	40298	84079
162	40569	83876
163	40820	83632
164	41068	83380
165	41303	83103
166	41542	82837
167	41803	82612
168	42088	82433
169	42325	82160
170	42547	81859
171	42826	81668
172	43066	81403
173	43326	81175
174	43593	80958
175	43832	80690
176	44082	80444
177	44359	80246
178	44600	79981
179	44895	79814
180	45137	79552
181	45467	79444
182	45745	79242
183	46061	79105
184	46315	78862
185	46556	78595
186	46802	78338
187	47028	78047
188	47321	77867
189	47555	77591
190	47815	77355
191	48038	77061
192	48331	76879
193	48583	76631
194	48885	76462
195	49106	76164
196	49363	75924
197	49603	75657
198	49882	75450
199	50126	75189
200	50334	74875
201	50583	74622
202	50846	74391
203	51069	74100
204	51379	73936
205	51639	73699
206	51895	73456
207	52153	73215
208	52407	72969
209	52699	72775
210	52963	72541
211	53257	72350
212	53498	72084
213	53754	71840
214	54014	71600
215	54271	71357
216	54511	71091
217	54769	70848
218	55023	70601
219	55268	70341
220	55517	70087
221	55826	69908
222	56068	69645
223	56372	69459
224	56627	69211
225	56861	68938
226	57098	68668
227	57343	68409
228	57597	68161
229	57846	67907
230	58117	67677
231	58385	67445
232	58662	67223
233	58927	66986
234	59203	66761
235	59571	66638
236	59866	66434
237	60118	66180
238	60383	65941
239	60693	65751
240	60983	65538
241	61294	65346
242	61580	65128
243	61850	64892
244	62174	64712
245	62469	64501
246	62685	64208
247	63018	64035
248	63267	63776
249	63533	63533
250	63755	63247
251	64000	62984
252	64246	62722
253	64533	62500
254	64771	62231
255	65049	62000
256	65279	61723
257	65497	61435
258	65741	61172
259	65964	60890
260	66254	60669
261	66492	60401
262	66756	60156
263	67008	59901
264	67224	59614
265	67456	59341
